time,type,sentCurrency,sentQuantity,receivedCurrency,receivedQuantity,feeCurrency,feeQuantity,id,description,txn partner,link
2023-06-04 08:20:05,Return LP Tokens,TinymanPool2.0 COOP-DEFLY,307.837763,,,ALGO,0.005,Combined Group - kiLvw4DeWCmOmYY2YESOHNxL7rKKcaz1gYzr6SvChM8=,Tinyman : Tinyman AMM v2 : Remove Liquidity,Tinyman,https://allo.info/tx/group/kiLvw4DeWCmOmYY2YESOHNxL7rKKcaz1gYzr6SvChM8=
2023-06-04 13:17:30,Swap,COOP,15.845341,ALGO,8.579458,ALGO,0.003,Combined Group - 2vOHj401Liokdtd4O1orsFxKVdq7lL4ag7y8fcsFcqM=,Tinyman : Tinyman AMM v2 : Swap (Sell),Tinyman,https://allo.info/tx/group/2vOHj401Liokdtd4O1orsFxKVdq7lL4ag7y8fcsFcqM=
2023-06-04 13:17:37,Fee,ALGO,0.033604,,,ALGO,0.001,NQ6UPLOBNFNCA4PYWBQBQVHPWL5UZFMXGKJUGDDGRNS3UBLY6HRA,Fee paid to Defly for swap,Defly,https://lora.algokit.io/mainnet/transaction/NQ6UPLOBNFNCA4PYWBQBQVHPWL5UZFMXGKJUGDDGRNS3UBLY6HRA
2023-06-04 13:18:41,Swap,ALGO,7.356166,STBL2,1.103441,ALGO,0.026,Combined Group - lpelcB+KXil3RyE9R1Pz8tfb4MrneLpDL3X3sheT8ic=,Algofi : Lending Pool : Swap (Buy),Algofi,https://allo.info/tx/group/lpelcB+KXil3RyE9R1Pz8tfb4MrneLpDL3X3sheT8ic=
2023-06-04 13:18:41,Receive Slippage,,,ALGO,0.036593,,,(Group- lpelc...) - InnerTxn #1 - K6V4K...,Algofi : Lending Pool : Swap (Buy) ,Algofi,https://lora.algokit.io/mainnet/transaction/K6V4KLLYKXOXZNJZHRKXLWKOBNA5NKJW2AWYEWISHPEK3ZY77B2Q
2023-06-04 13:19:18,Send,STBL2,1.104546,,,,,(Group- 6Slqz...) - KFYDGU4TZTVM2PUMI6UGLLS53NCAXFKSQP7EHKT4URQCYPGW7RMQ,Algofi : Lending Market v2 : Repay ,AY4WNUDHKIS7Q4WNF2RUYQDJN3WY5D57UOBRSFZTLJ22ZXGNMMJ6GC4XZ4,https://allo.info/tx/group/6SlqzkJyLQLh92UbguEv5k6Ktea5jU0enTD0efaG5kM=
2023-06-04 13:19:18,Receive,,,STBL2,0.001104,,,(Group- 6Slqz...) - InnerTxn #1 - 2S7AH...,Algofi : Lending Market v2 : Repay ,AY4WNUDHKIS7Q4WNF2RUYQDJN3WY5D57UOBRSFZTLJ22ZXGNMMJ6GC4XZ4,https://lora.algokit.io/mainnet/transaction/2S7AHJU36K24P7MPQJCCBDJGR2GX2Z6BSERNAFPZLUDHP4KJTMKA
2023-06-04 13:19:18,Fee,,,,,ALGO,0.004,Group Combined Fees - 6SlqzkJyLQLh92UbguEv5k6Ktea5jU0enTD0efaG5kM=,Algofi : Lending Market v2 : Repay,Algorand Network,https://allo.info/tx/group/6SlqzkJyLQLh92UbguEv5k6Ktea5jU0enTD0efaG5kM=
2023-06-10 10:39:43,Fee,,,,,ALGO,0.001,EEYYDTQCXTORHF7V3BIXDKC4BWSSJP6QMAKDG4GABWE7A4PPWJLQ,Asset Opt in/out,Algorand Network,https://lora.algokit.io/mainnet/transaction/EEYYDTQCXTORHF7V3BIXDKC4BWSSJP6QMAKDG4GABWE7A4PPWJLQ
2023-06-10 10:39:50,Swap,COOP,6.9,OPUL,4.56709036,ALGO,0.003,Combined Group - eGUP6opj11/etRF70yFqbDlKgWY+XfAg7ZipoRp5DvY=,Tinyman : Tinyman AMM v2 : Swap (Sell),Tinyman,https://allo.info/tx/group/eGUP6opj11/etRF70yFqbDlKgWY+XfAg7ZipoRp5DvY=
2023-06-10 10:39:58,Fee,ALGO,0.028341,,,ALGO,0.001,2LDYXHVONBDAE3YKZSKLIUVT4HUJCSGEADQDIIKX5IDFLC6S6ZPA,Fee paid to Defly for swap,Defly,https://lora.algokit.io/mainnet/transaction/2LDYXHVONBDAE3YKZSKLIUVT4HUJCSGEADQDIIKX5IDFLC6S6ZPA
2023-06-10 12:14:09,Receive,,,ALGO,70.240566,,,(Group- ItRLr...) - InnerTxn #1 - Inner BGYGQ...,Folks Finance : Folks Finance v2 : Withdrawal  ,2ZPNLKXWCOUJ2ONYWZEIWOUYRXL36VCIBGJ4ZJ2AAGET5SIRTHKSNFDJJ4,https://allo.info/tx/group/OkO+j8xHqvgjuA+NgZg+srJ3RZzPnLYIei5rm9A6mTo=
2023-06-10 12:14:09,Fee,,,,,ALGO,0.006,Group Combined Fees - OkO+j8xHqvgjuA+NgZg+srJ3RZzPnLYIei5rm9A6mTo=,Folks Finance : Folks Finance v2 : Withdrawal,Algorand Network,https://allo.info/tx/group/OkO+j8xHqvgjuA+NgZg+srJ3RZzPnLYIei5rm9A6mTo=
2023-06-10 12:16:47,Send,ALGO,46.25,,,,,(Group- ECf3J...) - UGX5MC6KLAU4AA6NJUKQLWL5H45FRVD55O3BNRGKNRYQWEWUJX7Q,5 txns.  ,KUMIZFY4LPRQLBNU27TS6RY4SHWAXOGXLJEGS6AN4SVQQ7CI23FIVB6CVQ,https://allo.info/tx/group/ECf3JprGsJU+rqEz72CO9Cc9pQ4hoDf/tFZqfGBgEzc=
2023-06-10 12:16:47,Send,ALGO,2.5,,,,,(Group- ECf3J...) - BM2ZXX5DTR5FYFC3YC7QZTZ7FW7XUJQTYAKFLEC6DOGERLQMR6KQ,5 txns.  ,KUMIZFY4LPRQLBNU27TS6RY4SHWAXOGXLJEGS6AN4SVQQ7CI23FIVB6CVQ,https://lora.algokit.io/mainnet/transaction/BM2ZXX5DTR5FYFC3YC7QZTZ7FW7XUJQTYAKFLEC6DOGERLQMR6KQ
2023-06-10 12:16:47,Send,ALGO,1.25,,,,,(Group- ECf3J...) - NPYPPX6LHEVWCCFBUFZA3J2JAVRBIR2EQ6VKWVANHWQ622PF6NUQ,5 txns.  ,Rand Gallery - Fee Wallet,https://lora.algokit.io/mainnet/transaction/NPYPPX6LHEVWCCFBUFZA3J2JAVRBIR2EQ6VKWVANHWQ622PF6NUQ
