time,type,sentCurrency,sentQuantity,receivedCurrency,receivedQuantity,feeCurrency,feeQuantity,id,description
2023-05-22 16:12:58,,,,BANK,0.589797,ALGO,0.004,KkicQoG0oMb+5xVFXROUZ60PDNO6hKCNePEH2Lnytlk=,2 txns. Algofi : Staking v2 : Claim Rewards
2023-05-22 16:13:06,,,,BANK,1.325271,ALGO,0.004,XplWgTgheJc3g8V9JSicsfCPdmIfGX3Z8j9L2yCNAMk=,2 txns. Algofi : Staking v2 : Claim Rewards
2023-05-22 16:13:58,,,,ALGO,10.000003,ALGO,0.004,t0s7CCxFte7wZxBOSKyA3KpeTI2O1OBNhiBnpu+MjCg=,1 txns. Algofi : Lending Market v2 : Remove Collateral
2023-05-22 16:14:27,,ALGO,0.6075,,,ALGO,0.004,zUUPXyRtUx3p4KTyxMjRDbnh5wVvDl4kQbfjFlyz6pQ=,5 txns. Algofi : Algofi Governance : Initialize Account
2023-05-24 05:40:18,,TMPOOL2,43.849172,COOP,343.256409,ALGO,0.004,xaWiFM7w/HUEjwMjl1FerabZdNxztrXA/50UG2MbnlY=,2 txns. Tinyman : Tinyman AMM v2 : Remove Liquidity
2023-05-24 15:12:55,,PLP,3.252335,,,ALGO,0.001,TELV26BXL3VVXRKPQLJFWADEQ2VLVDSL7HKYFMM77LZDJOTKWGZQ,Sender
2023-05-28 20:56:3,,COOP,138.,TMPOOL2,527.521529,ALGO,0.005,m6OjSpTNqZ9GTTLRSX9h0dkzPtO9X5vJ65TUnrFbEdQ=,3 txns. Tinyman : Tinyman AMM v2 : Add Liquidity
2023-05-28 20:57:38,,COOP,138.,TMPOOL2,439.247987,ALGO,0.005,EHhGkg63XRiCkRqHxgbTZ6bL7TufVTGOcYUisV2Jwtc=,3 txns. Tinyman : Tinyman AMM v2 : Add Liquidity
2023-05-28 20:58:35,,COOP,136.676409,TMPOOL2,6.603121,ALGO,0.005,PhkHWMKdENiNJvto8miZcBwtDafQDhq5EHUT6WF7QN8=,3 txns. Tinyman : Tinyman AMM v2 : Add Liquidity
2023-05-28 21:00:29,,COOP,31.,TMPOOL2,17.326531,ALGO,0.005,1kV1B8zTM9kImEDzwRKc56VvR7XGnaDfbV6ZjpyKqy0=,3 txns. Tinyman : Tinyman AMM v2 : Add Liquidity
2023-06-03 14:52:25,,,,Tacos,1115187.,ALGO,0.005,FrXxrVi44Jr99DMdXb0v3vyPfeGlc9M31HQHyWPN4w4=,3 txns. Tinyman : Tinyman AMM v2 : Remove Liquidity
2023-06-03 14:52:25,,TMPOOL2,6.603121,COOP,43.800361,,,Combo 2 FrXxrVi44Jr99DMdXb0v3vyPfeGlc9M31HQHyWPN4w4=,3 txns. Tinyman : Tinyman AMM v2 : Remove Liquidity
2023-06-03 14:53:03,,,,AKTA,4606.896233,ALGO,0.005,UEXW3XTA3AkAanL3Bh1nAulWTLs81w8dVfKasTt+abI=,3 txns. Tinyman : Tinyman AMM v2 : Remove Liquidity
2023-06-03 14:53:03,,TMPOOL2,439.247987,COOP,43.213531,,,Combo 2 UEXW3XTA3AkAanL3Bh1nAulWTLs81w8dVfKasTt+abI=,3 txns. Tinyman : Tinyman AMM v2 : Remove Liquidity
2023-06-03 14:53:48,,,,SOCKS,6764.690462,ALGO,0.005,Hwp49pWmCr2gMhnP2LYC7EG/Ae1l09rwagDvz3d9fsE=,3 txns. Tinyman : Tinyman AMM v2 : Remove Liquidity
2023-06-03 14:53:48,,TMPOOL2,527.521529,COOP,43.343274,,,Combo 2 Hwp49pWmCr2gMhnP2LYC7EG/Ae1l09rwagDvz3d9fsE=,3 txns. Tinyman : Tinyman AMM v2 : Remove Liquidity
2023-06-03 14:55:04,,TMPOOL2,17.326531,VEST,67.016589,ALGO,0.005,6cIXq1RO0NIach3PkD/hFjT3YOi+7mzN+hDoDL0PxH4=,3 txns. Tinyman : Tinyman AMM v2 : Remove Liquidity
2023-06-03 16:18:49,,COOP,130.357166,TMPOOL2,307.837763,ALGO,0.005,ltPccXbxqxOAlzosykiKKGBYZc9hISt4D2/YhD2Vmd8=,3 txns. Tinyman : Tinyman AMM v2 : Add Liquidity
2023-06-04 08:20:05,,,,DEFLY,2060.361229,ALGO,0.005,kiLvw4DeWCmOmYY2YESOHNxL7rKKcaz1gYzr6SvChM8=,3 txns. Tinyman : Tinyman AMM v2 : Remove Liquidity
2023-06-04 08:20:05,,TMPOOL2,307.837763,COOP,46.845341,,,Combo 2 kiLvw4DeWCmOmYY2YESOHNxL7rKKcaz1gYzr6SvChM8=,3 txns. Tinyman : Tinyman AMM v2 : Remove Liquidity
2023-06-04 13:17:3,,COOP,15.845341,ALGO,8.579458,ALGO,0.003,2vOHj401Liokdtd4O1orsFxKVdq7lL4ag7y8fcsFcqM=,2 txns. Tinyman : Tinyman AMM v2 : Swap (Sell)
2023-06-04 13:17:37,,ALGO,0.033604,,,ALGO,0.001,NQ6UPLOBNFNCA4PYWBQBQVHPWL5UZFMXGKJUGDDGRNS3UBLY6HRA,Sender
2023-06-04 13:18:41,,,,STBL2,1.103441,ALGO,0.026,lpelcB+KXil3RyE9R1Pz8tfb4MrneLpDL3X3sheT8ic=,"4 txns. Algofi : Lending Pool : Swap (Buy), Zap"
2023-06-04 13:18:41,,ALGO,7.356166,ALGO,0.036593,,,Combo 2 lpelcB+KXil3RyE9R1Pz8tfb4MrneLpDL3X3sheT8ic=,"4 txns. Algofi : Lending Pool : Swap (Buy), Zap"
2023-06-04 13:19:18,,STBL2,1.104546,STBL2,0.001104,ALGO,0.004,6SlqzkJyLQLh92UbguEv5k6Ktea5jU0enTD0efaG5kM=,2 txns. Algofi : Lending Market v2 : Repay
2023-06-10 10:39:43,,OPUL,0.,,,,,EEYYDTQCXTORHF7V3BIXDKC4BWSSJP6QMAKDG4GABWE7A4PPWJLQ,Asset Opt in/out
2023-06-10 10:39:5,,COOP,6.9,OPUL,4.56709036,ALGO,0.003,eGUP6opj11/etRF70yFqbDlKgWY+XfAg7ZipoRp5DvY=,2 txns. Tinyman : Tinyman AMM v2 : Swap (Sell)
2023-06-10 10:39:58,,ALGO,0.028341,,,ALGO,0.001,2LDYXHVONBDAE3YKZSKLIUVT4HUJCSGEADQDIIKX5IDFLC6S6ZPA,Sender
2023-06-10 12:14:09,,,,ALGO,70.240566,ALGO,0.006,OkO+j8xHqvgjuA+NgZg+srJ3RZzPnLYIei5rm9A6mTo=,1 txns. Folks Finance :  : 
2023-06-10 12:16:47,,ALGO,1.25,Hi,1.,ALGO,0.004,ECf3JprGsJU+rqEz72CO9Cc9pQ4hoDf/tFZqfGBgEzc=,5 txns. 
2023-06-10 12:16:47,,ALGO,46.25,,,,,Combo 2 ECf3JprGsJU+rqEz72CO9Cc9pQ4hoDf/tFZqfGBgEzc=,5 txns. 
2023-06-10 12:16:47,,ALGO,2.5,,,,,Combo 3 ECf3JprGsJU+rqEz72CO9Cc9pQ4hoDf/tFZqfGBgEzc=,5 txns. 
2023-06-11 10:51:26,,,,BANK,21.17083,ALGO,0.004,8zILJ/TCbw5OUhUZR4qbC7G7bNBM877lQgzctxetarU=,2 txns. Algofi : Staking v2 : Claim Rewards
2023-06-11 10:51:34,,,,BANK,10.665695,ALGO,0.004,yOrkWvg0KRmSV07cFhh9N4KapsRruFC9g3bCVmO56OY=,2 txns. Algofi : Staking v2 : Claim Rewards
2023-06-11 10:52:23,,BANK,33.763269,,,ALGO,0.006,w6tCALiTdeI5LAkGUBujikCVy5POICQ0ZWpF57khiRQ=,4 txns. Algofi : Staking v2 : Update Target User
2023-06-11 17:55:31,,OCTO,0.,,,,,EOCZHQCOX7EFUPUBVMU3S6J6ACMJCDZ2UQR4XGJPT3S6TU5CCJSA,Asset Opt in/out
2023-06-11 17:55:38,,COOP,6.942,OCTO,3.869691,ALGO,0.003,PtxMMQibpGdGQmAD02YgMRrGODJHVhpAe8Q2Z/AmpFc=,2 txns. Tinyman : Tinyman AMM v2 : Swap (Sell)
2023-06-11 17:55:46,,ALGO,0.028194,,,ALGO,0.001,QWSEOC7576UWNY6KH5XYJQGHJOEPMKVN2TGVQYMHNMM6U34N6FEA,Sender
2023-06-15 04:20:52,,WIND,0.,,,,,JOCGTU4TJJEC3W6HII3PDICML6ZGZ5235ACQP6SFHD7QZ3HSM33A,Asset Opt in/out
2023-06-15 05:24:37,,,,WIND,47152.,,,6YB3VOH5ZTGCKJAK2WUDUEPB4HKB7GQYDKEF3RUA44XHDMYPN5YA,Receiver
2023-06-15 05:51:48,,WIND,47152.,TMPOOL2,39.950655,ALGO,0.005,XedbVD6npP28MGY7e3Pd+lr5FGpnZ0KRkloqLeXOf/k=,3 txns. Tinyman : Tinyman AMM v2 : Add Liquidity
2023-06-16 06:43:02,,TMPOOL2,39.950655,WIND,59715.898,ALGO,0.004,dpA//hQ6g6VgsbQnCVztjnEsCU0JQ5K0kK1jQTOjNKQ=,2 txns. Tinyman : Tinyman AMM v2 : Remove Liquidity
2023-06-17 19:45:05,,WIND,59715.898,TMPOOL2,51.926459,ALGO,0.005,OuDLe0AZVvtkWDB06vmY5GPiFi/uI5bcHNhuyluNlhI=,3 txns. Tinyman : Tinyman AMM v2 : Add Liquidity
2023-06-17 19:45:51,,COOP,86.158,TMPOOL2,23.436892,ALGO,0.004,DwfYrRJeid73eDJtDmkUWpKLUI5ZoXUCCiFjsmwCIak=,2 txns. Tinyman : Tinyman AMM v2 : Add Liquidity
2023-06-18 05:56:26,,,,COOP,165.565268,ALGO,0.004,/vdEv77yeP17wYntdIEhloVz5x0dQfL0ekQbSyZB/6w=,2 txns. Tinyman : Tinyman AMM v2 : Remove Liquidity
2023-06-18 05:56:26,,TMPOOL2,75.363351,WIND,36287.396,,,Combo 2 /vdEv77yeP17wYntdIEhloVz5x0dQfL0ekQbSyZB/6w=,2 txns. Tinyman : Tinyman AMM v2 : Remove Liquidity
2023-06-18 05:57:14,,COOP,165.565268,TMPOOL2,50.57826,ALGO,0.004,mHS1jQJzP1/niK8k29HrZuj9Ynk5kqL1OCGnDnm4Uhc=,2 txns. Tinyman : Tinyman AMM v2 : Add Liquidity
