time,type,sentCurrency,sentQuantity,receivedCurrency,receivedQuantity,feeCurrency,feeQuantity,id,description
2021-12-06 08:44:31,,ALGO,4.,,,ALGO,0.001,YKBOMWZUX73BPAWGMXFS5YO3NAU7EENH6FGGF52RIPOEKXCV32WQ,Sender
2021-12-13 04:38:57,,,,ALGO,19.5,,,LJRHFXER7LZWA4VXJWLBAG6ZIW2CGVS5PKUCCZX4KS4NJAZPQWKA,Receiver
2021-12-13 04:56:32,,,,ALGO,10.5,,,JPAW3P2O6XJT343JS6CUXEGXDZFM7AITK7H7ZPXO3533JA5YAUCQ,Receiver
2021-12-13 05:02:14,,ALGO,25.,WW-04,1.,ALGO,0.003,tu0AAQeEqDynoBJLvs7K9f3I9FnEUfenIMDSzQzRUnE=,4 txns. 
2021-12-13 05:07:05,,ALGO,8.,GEMS NFT,1.,ALGO,0.003,CMTUo0S486G+nHIL3d+J/K81zdDuhNXerv4iWEXVyWk=,4 txns. 
2021-12-13 05:39:02,,464311951,0.,,,,,HEKIMWUL7KBH2XZ5LPARG6JG3Z74Z6I7ZQDNT6W2THAZZAETHN4Q,Asset Opt in/out
2021-12-13 05:40:38,,,,464311951,1.,,,27IB2NB5K4RRVTDPBLRY7SARASQOHQY4YAHJFIW2I7EJ44ROTKCQ,Receiver
2021-12-17 14:39:53,,,,ALGO,62.5,,,OO6TW7NE5MRGN6TV5W6BCPXYBU5AZZLNDP3KAGIESJUWXFXNXDTQ,Receiver
2021-12-17 14:51:,,ALGO,40.,Draco13,1.,ALGO,0.003,XEMIvpqLe9B5EHjhi7xcqpT0LI+cuCUm1AxrgZOb2mE=,4 txns. 
2021-12-17 15:02:57,,ALGO,8.,004AA,1.,ALGO,0.003,3/UFR83AAnCI0Ym7fY9VC8Uj4gTIJy1eIR5VlR5x54A=,4 txns. 
2021-12-17 15:08:06,,,,,,ALGO,0.002,gel08KegJauc9pLRUtEUWgfbuFUGT3q1WFknkY9Q3Ok=,2 txns. 
2021-12-17 15:08:59,,ALGO,5.,,,ALGO,0.002,kDe5F9vMDEVAkSRFGZLmQGbYSivOC3Te/tWuk/OeKrk=,2 txns. 
2021-12-17 15:10:27,,,,,,ALGO,0.002,c1ftMhDfluRGoJi4+mGZr6fsK6hBAIeP9JXMv0s4pdU=,2 txns. 
2021-12-17 15:11:12,,ALGO,3.,,,ALGO,0.002,pddynZ840G/pQ8oROOp7GtsJbY6+g/E2B4jtW2L8sM8=,2 txns. 
2021-12-17 15:20:15,,,,,,ALGO,0.002,7I5wmiCOQNgx41LAKvjiJbsbS/A9in7Unnqf98IdfxA=,2 txns. 
2021-12-17 15:20:54,,ALGO,2.,,,ALGO,0.002,lk1bYG9JH0bcg02UemFSF5DGsJQHIoEMGamKORr6ecI=,2 txns. 
2021-12-17 15:22:01,,,,,,ALGO,0.002,4gj3X8/YluVbg8/foKlJpcyYSeKGDkxicNJz7HwOpCY=,2 txns. 
2021-12-17 15:22:4,,ALGO,2.,,,ALGO,0.002,ExclbbzbBqqnCLYvDSJkAGpjVJFOS86I8M+/vaDWjso=,2 txns. 
2021-12-17 15:23:24,,,,ALGO,2.,,,rekTvupXL9KI/BYR4Sv+YXawwKfzV0FYdvyPo52kwdo=,1 txns. 
2021-12-17 20:05:3,,,,ALGO,3.,,,sK3d1Wjn291lI0LSKblhlN2BKBEv6FDzY1IMyG/yTco=,1 txns. 
2021-12-18 02:00:35,,,,AlgoJoe,1.,,,ohiIIX/tI24I6dwQRcoCGNaWIqcNN3hDkaMbUm/uKsg=,2 txns. 
2021-12-18 10:00:35,,,,APACL001,1.,,,sCQTkUZv9I63XsT6gMqTB08MAq6QF0KDBcX8HLBYMD4=,2 txns. 
2021-12-19 00:53:35,,,,ALGO,82.5,,,YVTAGBPXTVRMHR2QFI6T2XBZHBGDDT3MUN7HYPQ5WJDX4D5GKBHA,Receiver
