ID,platform,appName
743316099,Yieldly,HDL/YLDY LP > YLDY Staking
747239433,Folks Finance,ALGO/USDC PLP (Pool)
747254560,Folks Finance,ALGO/USDC LP - USDt Market
751028283,Yieldly,COSG > COSG (60 Day) Staking
751285119,Folks Finance,PLANET (Pool)
751347943,Yieldly,YLDY > ASASTATS Staking
751372353,Yieldly,ASASTATS/YLDY LP > YLDY Staking
751459877,Yieldly,ASASTATS > ASASTATS Staking
752132246,Pact,AGR/ALGO Liquidity Pool
754147756,Yieldly,BOARD/YLDY LP > YLDY Staking
760747711,Algofi,Butts/ALGO Liquidity Pool
760823873,Algofi,ALGX/ALGO Liquidity Pool
760937186,NFDomains,Registry
762480142,Yieldly,TREES/YLDY LP > YLDY Staking
764420932,Algofi,STBL/goMINT Liquidity Pool
771891102,Humble Swap,USDC/USDt Liquidity Pool
773172535,Humble Swap,388592191/ALGO Liquidity Pool
776638293,Algofi,553656096/ALGO Liquidity Pool
777623301,Humble Swap,226701642/ALGO Liquidity Pool
777628254,Humble Swap,31566704/ALGO Liquidity Pool
777639704,Humble Swap,312769/ALGO Liquidity Pool
777643671,Humble Swap,287867876/ALGO Liquidity Pool
777657671,Humble Swap,goETH/ALGO Liquidity Pool
777662431,Humble Swap,386192725/ALGO Liquidity Pool
777673635,Humble Swap,509808838/ALGO Liquidity Pool
777747637,Humble Swap,700965019/ALGO Liquidity Pool
778031658,Humble Swap,470842789/ALGO Liquidity Pool
778051470,Humble Swap,467134640/ALGO Liquidity Pool
779141178,Humble Swap,ALGO/STKE Liquidity Pool
779142716,Humble Swap,441139422/ALGO Liquidity Pool
779144473,Humble Swap,310014962/ALGO Liquidity Pool
779146836,Humble Swap,ALGO/COSG Liquidity Pool
779148387,Humble Swap,230946361/ALGO Liquidity Pool
779149552,Humble Swap,300208676/ALGO Liquidity Pool
779181697,Yieldly,YLDY > ALGX Staking
